Date,89 Price,92 Price,95 Price
2015/06/21,6.16,6.58,7
2015/06/22,6.16,6.58,7
2015/06/23,6.16,6.58,7
2015/06/24,6.16,6.58,7
2015/06/25,6.16,6.58,7
2015/06/26,6.16,6.58,7
2015/06/27,6.16,6.58,7
2015/06/28,6.16,6.58,7
2015/06/29,6.16,6.58,7
2015/06/30,6.16,6.58,7
2015/07/01,6.16,6.58,7
2015/07/02,6.16,6.58,7
2015/07/03,6.16,6.58,7
2015/07/04,6.16,6.58,7
2015/07/05,6.16,6.58,7
2015/07/06,6.16,6.58,7
2015/07/07,6.16,6.58,7
2015/07/08,-,6.5,6.92
2015/07/09,-,6.5,6.92
2015/07/10,-,6.5,6.92
2015/07/11,-,6.5,6.92
2015/07/12,-,6.5,6.92
2015/07/13,-,6.5,6.92
2015/07/14,-,6.5,6.92
2015/07/15,-,6.5,6.92
2015/07/16,-,6.5,6.92
2015/07/17,-,6.5,6.92
2015/07/18,-,6.5,6.92
2015/07/19,-,6.5,6.92
2015/07/20,-,6.5,6.92
2015/07/21,-,6.5,6.92
2015/07/22,-,6.5,6.92
2015/07/23,-,6.5,6.92
2015/07/24,-,6.5,6.92
2015/07/25,-,6.5,6.92
2015/07/26,-,6.5,6.92
2015/07/27,-,6.5,6.92
2015/07/28,-,6.5,6.92
2015/07/29,-,6.5,6.92
2015/07/30,-,6.5,6.92
2015/07/31,-,6.5,6.92
2015/08/01,-,6.5,6.92
2015/08/02,-,6.5,6.92
2015/08/03,-,6.5,6.92
2015/08/04,-,6.5,6.92
2015/08/05,-,6.11,6.51
2015/08/06,-,6.11,6.51
2015/08/07,-,6.11,6.51
2015/08/08,-,6.11,6.51
2015/08/09,-,6.11,6.51
2015/08/10,-,6.11,6.51
2015/08/11,-,6.11,6.51
2015/08/12,-,6.11,6.51
2015/08/13,-,6.11,6.51
2015/08/14,-,6.11,6.51
2015/08/15,-,6.11,6.51
2015/08/16,-,6.11,6.51
2015/08/17,-,6.11,6.51
2015/08/18,-,6.11,6.51
2015/08/19,-,6.11,6.51
2015/08/20,-,6.11,6.51
2015/08/21,-,6.11,6.51
2015/08/22,-,6.11,6.51
2015/08/23,-,6.11,6.51
2015/08/24,-,6.11,6.51
2015/08/25,-,6.11,6.51
2015/08/26,-,6.11,6.51
2015/08/27,-,6.11,6.51
2015/08/28,-,6.11,6.51
2015/08/29,-,6.11,6.51
2015/08/30,-,6.11,6.51
2015/08/31,-,6.11,6.51
2015/09/01,-,6.11,6.51
2015/09/02,-,6.11,6.51
2015/09/03,-,6.11,6.51
2015/09/04,-,6.11,6.51
2015/09/05,-,6.11,6.51
2015/09/06,-,6.11,6.51
2015/09/07,-,6.11,6.51
2015/09/08,-,6.11,6.51
2015/09/09,-,6.11,6.51
2015/09/10,-,6.11,6.51
2015/09/11,-,6.11,6.51
2015/09/12,-,6.11,6.51
2015/09/13,-,6.11,6.51
2015/09/14,-,6.11,6.51
2015/09/15,-,6.11,6.51
2015/09/16,-,6.11,6.51
2015/09/17,5.54,5.92,6.3
2015/09/18,5.54,5.92,6.3
2015/09/19,5.54,5.92,6.3
2015/09/20,5.54,5.92,6.3
2015/09/21,5.54,5.92,6.3
2015/09/22,5.54,5.92,6.3
2015/09/23,5.54,5.92,6.3
2015/09/24,5.54,5.92,6.3
2015/09/25,5.54,5.92,6.3
2015/09/26,5.54,5.92,6.3
2015/09/27,5.54,5.92,6.3
2015/09/28,5.54,5.92,6.3
2015/09/29,5.54,5.92,6.3
2015/09/30,5.54,5.92,6.3
2015/10/01,5.54,5.92,6.3
2015/10/02,5.54,5.92,6.3
2015/10/03,5.54,5.92,6.3
2015/10/04,5.54,5.92,6.3
2015/10/05,5.54,5.92,6.3
2015/10/06,5.54,5.92,6.3
2015/10/07,5.54,5.92,6.3
2015/10/08,5.54,5.92,6.3
2015/10/09,5.54,5.92,6.3
2015/10/10,5.54,5.92,6.3
2015/10/11,5.54,5.92,6.3
2015/10/12,5.54,5.92,6.3
2015/10/13,5.54,5.92,6.3
2015/10/14,5.54,5.92,6.3
2015/10/15,5.54,5.92,6.3
2015/10/16,5.54,5.92,6.3
2015/10/17,5.54,5.92,6.3
2015/10/18,5.54,5.92,6.3
2015/10/19,5.54,5.92,6.3
2015/10/20,5.54,5.92,6.3
2015/10/21,5.58,5.96,6.34
2015/10/22,5.58,5.96,6.34
2015/10/23,5.58,5.96,6.34
2015/10/24,5.58,5.96,6.34
2015/10/25,5.58,5.96,6.34
2015/10/26,5.58,5.96,6.34
2015/10/27,5.58,5.96,6.34
2015/10/28,5.58,5.96,6.34
2015/10/29,5.58,5.96,6.34
2015/10/30,5.58,5.96,6.34
2015/10/31,5.58,5.96,6.34
2015/11/01,5.58,5.96,6.34
2015/11/02,5.58,5.96,6.34
2015/11/03,5.58,5.96,6.34
2015/11/04,5.48,5.86,6.24
2015/11/05,5.48,5.86,6.24
2015/11/06,5.48,5.86,6.24
2015/11/07,5.48,5.86,6.24
2015/11/08,5.48,5.86,6.24
2015/11/09,5.48,5.86,6.24
2015/11/10,5.48,5.86,6.24
2015/11/11,5.48,5.86,6.24
2015/11/12,5.48,5.86,6.24
2015/11/13,5.48,5.86,6.24
2015/11/14,5.48,5.86,6.24
2015/11/15,5.48,5.86,6.24
2015/11/16,5.48,5.86,6.24
2015/11/17,5.48,5.86,6.24
2015/11/18,5.42,5.79,6.16
2015/11/19,5.42,5.79,6.16
2015/11/20,5.42,5.79,6.16
2015/11/21,5.42,5.79,6.16
2015/11/22,5.42,5.79,6.16
2015/11/23,5.42,5.79,6.16
2015/11/24,5.42,5.79,6.16
2015/11/25,5.42,5.79,6.16
2015/11/26,5.42,5.79,6.16
2015/11/27,5.42,5.79,6.16
2015/11/28,5.42,5.79,6.16
2015/11/29,5.42,5.79,6.16
2015/11/30,5.42,5.79,6.16
2015/12/01,5.42,5.79,6.16
2015/12/02,5.31,5.67,6.04
2015/12/03,5.31,5.67,6.04
2015/12/04,5.31,5.67,6.04
2015/12/05,5.31,5.67,6.04
2015/12/06,5.31,5.67,6.04
2015/12/07,5.31,5.67,6.04
2015/12/08,5.31,5.67,6.04
2015/12/09,5.31,5.67,6.04
2015/12/10,5.31,5.67,6.04
2015/12/11,5.31,5.67,6.04
2015/12/12,5.31,5.67,6.04
2015/12/13,5.31,5.67,6.04
2015/12/14,5.31,5.67,6.04
2015/12/15,5.31,5.67,6.04
2015/12/16,5.31,5.67,6.04
2015/12/17,5.31,5.67,6.04
2015/12/18,5.31,5.67,6.04
2015/12/19,5.31,5.67,6.04
2015/12/20,5.31,5.67,6.04
2015/12/21,5.31,5.67,6.04
2015/12/22,5.31,5.67,6.04
2015/12/23,5.31,5.67,6.04
2015/12/24,5.31,5.67,6.04
2015/12/25,5.31,5.67,6.04
2015/12/26,5.31,5.67,6.04
2015/12/27,5.31,5.67,6.04
2015/12/28,5.31,5.67,6.04
2015/12/29,5.31,5.67,6.04
2015/12/30,5.31,5.67,6.04
2015/12/31,5.31,5.67,6.04
2016/01/01,5.31,5.67,6.04
2016/01/02,5.31,5.67,6.04
2016/01/03,5.31,5.67,6.04
2016/01/04,5.31,5.67,6.04
2016/01/05,5.31,5.67,6.04
2016/01/06,5.31,5.67,6.04
2016/01/07,5.31,5.67,6.04
2016/01/08,5.31,5.67,6.04
2016/01/09,5.31,5.67,6.04
2016/01/10,5.31,5.67,6.04
2016/01/11,5.31,5.67,6.04
2016/01/12,5.31,5.67,6.04
2016/01/13,5.31,5.67,6.04
2016/01/14,5.2,5.56,5.92
2016/01/15,5.2,5.56,5.92
2016/01/16,5.2,5.56,5.92
2016/01/17,5.2,5.56,5.92
2016/01/18,5.2,5.56,5.92
2016/01/19,5.2,5.56,5.92
2016/01/20,5.2,5.56,5.92
2016/01/21,5.2,5.56,5.92
2016/01/22,5.2,5.56,5.92
2016/01/23,5.2,5.56,5.92
2016/01/24,5.2,5.56,5.92
2016/01/25,5.2,5.56,5.92
2016/01/26,5.2,5.56,5.92
2016/01/27,5.2,5.56,5.92
2016/01/28,5.2,5.56,5.92
2016/01/29,5.2,5.56,5.92
2016/01/30,5.2,5.56,5.92
2016/01/31,5.2,5.56,5.92
2016/02/01,5.2,5.56,5.92
2016/02/02,5.2,5.56,5.92
2016/02/03,5.2,5.56,5.92
2016/02/04,5.2,5.56,5.92
2016/02/05,5.2,5.56,5.92
2016/02/06,5.2,5.56,5.92
2016/02/07,5.2,5.56,5.92
2016/02/08,5.2,5.56,5.92
2016/02/09,5.2,5.56,5.92
2016/02/10,5.2,5.56,5.92
2016/02/11,5.2,5.56,5.92
2016/02/12,5.2,5.56,5.92
2016/02/13,5.2,5.56,5.92
2016/02/14,5.2,5.56,5.92
2016/02/15,5.2,5.56,5.92
2016/02/16,5.2,5.56,5.92
2016/02/17,5.2,5.56,5.92
2016/02/18,5.2,5.56,5.92
2016/02/19,5.2,5.56,5.92
2016/02/20,5.2,5.56,5.92
2016/02/21,5.2,5.56,5.92
2016/02/22,5.2,5.56,5.92
2016/02/23,5.2,5.56,5.92
2016/02/24,5.2,5.56,5.92
2016/02/25,5.2,5.56,5.92
2016/02/26,5.2,5.56,5.92
2016/02/27,5.2,5.56,5.92
2016/02/28,5.2,5.56,5.92
2016/02/29,5.2,5.56,5.92
2016/03/01,5.2,5.56,5.92
2016/03/02,5.2,5.56,5.92
2016/03/03,5.2,5.56,5.92
2016/03/04,5.2,5.56,5.92
2016/03/05,5.2,5.56,5.92
2016/03/06,5.2,5.56,5.92
2016/03/07,5.2,5.56,5.92
2016/03/08,5.2,5.56,5.92
2016/03/09,5.2,5.56,5.92
2016/03/10,5.2,5.56,5.92
2016/03/11,5.2,5.56,5.92
2016/03/12,5.2,5.56,5.92
2016/03/13,5.2,5.56,5.92
2016/03/14,5.2,5.56,5.92
2016/03/15,5.2,5.56,5.92
2016/03/16,5.2,5.56,5.92
2016/03/17,5.2,5.56,5.92
2016/03/18,5.2,5.56,5.92
2016/03/19,5.2,5.56,5.92
2016/03/20,5.2,5.56,5.92
2016/03/21,5.2,5.56,5.92
2016/03/22,5.2,5.56,5.92
2016/03/23,5.2,5.56,5.92
2016/03/24,5.2,5.56,5.92
2016/03/25,5.2,5.56,5.92
2016/03/26,5.2,5.56,5.92
2016/03/27,5.2,5.56,5.92
2016/03/28,5.2,5.56,5.92
2016/03/29,5.2,5.56,5.92
2016/03/30,5.2,5.56,5.92
2016/03/31,5.2,5.56,5.92
2016/04/01,5.2,5.56,5.92
2016/04/02,5.2,5.56,5.92
2016/04/03,5.2,5.56,5.92
2016/04/04,5.2,5.56,5.92
2016/04/05,5.2,5.56,5.92
2016/04/06,5.2,5.56,5.92
2016/04/07,5.2,5.56,5.92
2016/04/08,5.2,5.56,5.92
2016/04/09,5.2,5.56,5.92
2016/04/10,5.2,5.56,5.92
2016/04/11,5.2,5.56,5.92
2016/04/12,5.2,5.56,5.92
2016/04/13,5.2,5.56,5.92
2016/04/14,5.2,5.56,5.92
2016/04/15,5.2,5.56,5.92
2016/04/16,5.2,5.56,5.92
2016/04/17,5.2,5.56,5.92
2016/04/18,5.2,5.56,5.92
2016/04/19,5.2,5.56,5.92
2016/04/20,5.2,5.56,5.92
2016/04/21,5.2,5.56,5.92
2016/04/22,5.2,5.56,5.92
2016/04/23,5.2,5.56,5.92
2016/04/24,5.2,5.56,5.92
2016/04/25,5.2,5.56,5.92
2016/04/26,5.2,5.56,5.92
2016/04/27,5.33,5.69,6.06
2016/04/28,5.33,5.69,6.06
2016/04/29,5.33,5.69,6.06
2016/04/30,5.33,5.69,6.06
2016/05/01,5.33,5.69,6.06
2016/05/02,5.33,5.69,6.06
2016/05/03,5.33,5.69,6.06
2016/05/04,5.33,5.69,6.06
2016/05/05,5.33,5.69,6.06
2016/05/06,5.33,5.69,6.06
2016/05/07,5.33,5.69,6.06
2016/05/08,5.33,5.69,6.06
2016/05/09,5.33,5.69,6.06
2016/05/10,5.33,5.69,6.06
2016/05/11,5.33,5.69,6.06
2016/05/12,5.42,5.79,6.16
2016/05/13,5.42,5.79,6.16
2016/05/14,5.42,5.79,6.16
2016/05/15,5.42,5.79,6.16
2016/05/16,5.42,5.79,6.16
2016/05/17,5.42,5.79,6.16
2016/05/18,5.42,5.79,6.16
2016/05/19,5.42,5.79,6.16
2016/05/20,5.42,5.79,6.16
2016/05/21,5.42,5.79,6.16
2016/05/22,5.42,5.79,6.16
2016/05/23,5.42,5.79,6.16
2016/05/24,5.42,5.79,6.16
2016/05/25,5.42,5.79,6.16
2016/05/26,5.58,5.96,6.34
2016/05/27,5.58,5.96,6.34
2016/05/28,5.58,5.96,6.34
2016/05/29,5.58,5.96,6.34
2016/05/30,5.58,5.96,6.34
2016/05/31,5.58,5.96,6.34
2016/06/01,5.58,5.96,6.34
2016/06/02,5.58,5.96,6.34
2016/06/03,5.58,5.96,6.34
2016/06/04,5.58,5.96,6.34
2016/06/05,5.58,5.96,6.34
2016/06/06,5.58,5.96,6.34
2016/06/07,5.58,5.96,6.34
2016/06/08,5.58,5.96,6.34
2016/06/09,5.66,6.05,6.44
2016/06/10,5.66,6.05,6.44
2016/06/11,5.66,6.05,6.44
2016/06/12,5.66,6.05,6.44
2016/06/13,5.66,6.05,6.44
2016/06/14,5.66,6.05,6.44
2016/06/15,5.66,6.05,6.44
2016/06/16,5.66,6.05,6.44
2016/06/17,5.66,6.05,6.44
2016/06/18,5.66,6.05,6.44
2016/06/19,5.66,6.05,6.44
2016/06/20,5.66,6.05,6.44
2016/06/21,5.66,6.05,6.44
2016/06/22,5.66,6.05,6.44
2016/06/23,5.66,6.05,6.44
2016/06/24,5.66,6.05,6.44
2016/06/25,5.66,6.05,6.44
2016/06/26,5.66,6.05,6.44
2016/06/27,5.66,6.05,6.44
2016/06/28,5.66,6.05,6.44
2016/06/29,5.66,6.05,6.44
2016/06/30,5.66,6.05,6.44
2016/07/01,5.66,6.05,6.44
2016/07/02,5.66,6.05,6.44
2016/07/03,5.66,6.05,6.44
2016/07/04,5.66,6.05,6.44
2016/07/05,5.66,6.05,6.44
2016/07/06,5.66,6.05,6.44
2016/07/07,5.66,6.05,6.44
2016/07/08,5.66,6.05,6.44
2016/07/09,5.66,6.05,6.44
2016/07/10,5.66,6.05,6.44
2016/07/11,5.66,6.05,6.44
2016/07/12,5.66,6.05,6.44
2016/07/13,5.66,6.05,6.44
2016/07/14,5.66,6.05,6.44
2016/07/15,5.66,6.05,6.44
2016/07/16,5.66,6.05,6.44
2016/07/17,5.66,6.05,6.44
2016/07/18,5.66,6.05,6.44
2016/07/19,5.66,6.05,6.44
2016/07/20,5.66,6.05,6.44
2016/07/21,5.66,6.05,6.44
2016/07/22,5.54,5.92,6.3
2016/07/23,5.54,5.92,6.3
2016/07/24,5.54,5.92,6.3
2016/07/25,5.54,5.92,6.3
2016/07/26,5.54,5.92,6.3
2016/07/27,5.54,5.92,6.3
2016/07/28,5.54,5.92,6.3
2016/07/29,5.54,5.92,6.3
2016/07/30,5.54,5.92,6.3
2016/07/31,5.54,5.92,6.3
2016/08/01,5.54,5.92,6.3
2016/08/02,5.54,5.92,6.3
2016/08/03,5.54,5.92,6.3
2016/08/04,5.54,5.92,6.3
2016/08/05,5.38,5.75,6.12
2016/08/06,5.38,5.75,6.12
2016/08/07,5.38,5.75,6.12
2016/08/08,5.38,5.75,6.12
2016/08/09,5.38,5.75,6.12
2016/08/10,5.38,5.75,6.12
2016/08/11,5.38,5.75,6.12
2016/08/12,5.38,5.75,6.12
2016/08/13,5.38,5.75,6.12
2016/08/14,5.38,5.75,6.12
2016/08/15,5.38,5.75,6.12
2016/08/16,5.38,5.75,6.12
2016/08/17,5.38,5.75,6.12
2016/08/18,5.38,5.75,6.12
2016/08/19,5.51,5.89,6.27
2016/08/20,5.51,5.89,6.27
2016/08/21,5.51,5.89,6.27
2016/08/22,5.51,5.89,6.27
2016/08/23,5.51,5.89,6.27
2016/08/24,5.51,5.89,6.27
2016/08/25,5.51,5.89,6.27
2016/08/26,5.51,5.89,6.27
2016/08/27,5.51,5.89,6.27
2016/08/28,5.51,5.89,6.27
2016/08/29,5.51,5.89,6.27
2016/08/30,5.51,5.89,6.27
2016/08/31,5.51,5.89,6.27
2016/09/01,5.51,5.89,6.27
2016/09/02,5.66,6.05,6.44
2016/09/03,5.66,6.05,6.44
2016/09/04,5.66,6.05,6.44
2016/09/05,5.66,6.05,6.44
2016/09/06,5.66,6.05,6.44
2016/09/07,5.66,6.05,6.44
2016/09/08,5.66,6.05,6.44
2016/09/09,5.66,6.05,6.44
2016/09/10,5.66,6.05,6.44
2016/09/11,5.66,6.05,6.44
2016/09/12,5.66,6.05,6.44
2016/09/13,5.66,6.05,6.44
2016/09/14,5.66,6.05,6.44
2016/09/15,5.66,6.05,6.44
2016/09/16,5.66,6.05,6.44
2016/09/17,5.66,6.05,6.44
2016/09/18,5.66,6.05,6.44
2016/09/19,5.55,5.93,6.31
2016/09/20,5.55,5.93,6.31
2016/09/21,5.55,5.93,6.31
2016/09/22,5.55,5.93,6.31
2016/09/23,5.55,5.93,6.31
2016/09/24,5.55,5.93,6.31
2016/09/25,5.55,5.93,6.31
2016/09/26,5.55,5.93,6.31
2016/09/27,5.55,5.93,6.31
2016/09/28,5.55,5.93,6.31
2016/09/29,5.55,5.93,6.31
2016/09/30,5.55,5.93,6.31
2016/10/01,5.55,5.93,6.31
2016/10/02,5.55,5.93,6.31
2016/10/03,5.55,5.93,6.31
2016/10/04,5.55,5.93,6.31
2016/10/05,5.55,5.93,6.31
2016/10/06,5.55,5.93,6.31
2016/10/07,5.55,5.93,6.31
2016/10/08,5.55,5.93,6.31
2016/10/09,5.55,5.93,6.31
2016/10/10,5.55,5.93,6.31
2016/10/11,5.55,5.93,6.31
2016/10/12,5.55,5.93,6.31
2016/10/13,5.55,5.93,6.31
2016/10/14,5.55,5.93,6.31
2016/10/15,5.55,5.93,6.31
2016/10/16,5.55,5.93,6.31
2016/10/17,5.55,5.93,6.31
2016/10/18,5.55,5.93,6.31
2016/10/19,5.55,5.93,6.31
2016/10/20,5.81,6.21,6.61
2016/10/21,5.81,6.21,6.61
2016/10/22,5.81,6.21,6.61
2016/10/23,5.81,6.21,6.61
2016/10/24,5.81,6.21,6.61
2016/10/25,5.81,6.21,6.61
2016/10/26,5.81,6.21,6.61
2016/10/27,5.81,6.21,6.61
2016/10/28,5.81,6.21,6.61
2016/10/29,5.81,6.21,6.61
2016/10/30,5.81,6.21,6.61
2016/10/31,5.81,6.21,6.61
2016/11/01,5.81,6.21,6.61
2016/11/02,5.81,6.21,6.61
2016/11/03,5.81,6.21,6.61
2016/11/04,5.81,6.21,6.61
2016/11/05,5.81,6.21,6.61
2016/11/06,5.81,6.21,6.61
2016/11/07,5.81,6.21,6.61
2016/11/08,5.81,6.21,6.61
2016/11/09,5.81,6.21,6.61
2016/11/10,5.81,6.21,6.61
2016/11/11,5.81,6.21,6.61
2016/11/12,5.81,6.21,6.61
2016/11/13,5.81,6.21,6.61
2016/11/14,5.81,6.21,6.61
2016/11/15,5.81,6.21,6.61
2016/11/16,5.81,6.21,6.61
2016/11/17,5.54,5.92,6.3
2016/11/18,5.54,5.92,6.3
2016/11/19,5.54,5.92,6.3
2016/11/20,5.54,5.92,6.3
2016/11/21,5.54,5.92,6.3
2016/11/22,5.54,5.92,6.3
2016/11/23,5.54,5.92,6.3
2016/11/24,5.54,5.92,6.3
2016/11/25,5.54,5.92,6.3
2016/11/26,5.54,5.92,6.3
2016/11/27,5.54,5.92,6.3
2016/11/28,5.54,5.92,6.3
2016/11/29,5.54,5.92,6.3
2016/11/30,5.54,5.92,6.3
2016/12/01,5.67,6.06,6.45
2016/12/02,5.67,6.06,6.45
2016/12/03,5.67,6.06,6.45
2016/12/04,5.67,6.06,6.45
2016/12/05,5.67,6.06,6.45
2016/12/06,5.67,6.06,6.45
2016/12/07,5.67,6.06,6.45
2016/12/08,5.67,6.06,6.45
2016/12/09,5.67,6.06,6.45
2016/12/10,5.67,6.06,6.45
2016/12/11,5.67,6.06,6.45
2016/12/12,5.67,6.06,6.45
2016/12/13,5.67,6.06,6.45
2016/12/14,5.67,6.06,6.45
2016/12/15,6,6.41,6.82
2016/12/16,6,6.41,6.82
2016/12/17,6,6.41,6.82
2016/12/18,6,6.41,6.82
2016/12/19,6,6.41,6.82
2016/12/20,6,6.41,6.82
2016/12/21,6,6.41,6.82
2016/12/22,6,6.41,6.82
2016/12/23,6,6.41,6.82
2016/12/24,6,6.41,6.82
2016/12/25,6,6.41,6.82
2016/12/26,6,6.41,6.82
2016/12/27,6,6.41,6.82
2016/12/28,6,6.41,6.82
2016/12/29,6.07,6.49,6.91
2016/12/30,6.07,6.49,6.91
2016/12/31,6.07,6.49,6.91
2017/01/01,6.07,6.49,6.91
2017/01/02,6.07,6.49,6.91
2017/01/03,6.07,6.49,6.91
2017/01/04,6.07,6.49,6.91
2017/01/05,6.07,6.49,6.91
2017/01/06,6.07,6.49,6.91
2017/01/07,6.07,6.49,6.91
2017/01/08,6.07,6.49,6.91
2017/01/09,6.07,6.49,6.91
2017/01/10,6.07,6.49,6.91
2017/01/11,6.07,6.49,6.91
2017/01/12,6.07,6.49,6.91
2017/01/13,6.13,6.54,6.97
2017/01/14,6.13,6.54,6.97
2017/01/15,6.13,6.54,6.97
2017/01/16,6.13,6.54,6.97
2017/01/17,6.13,6.54,6.97
2017/01/18,6.13,6.54,6.97
2017/01/19,6.13,6.54,6.97
2017/01/20,6.13,6.54,6.97
2017/01/21,6.13,6.54,6.97
2017/01/22,6.13,6.54,6.97
2017/01/23,6.13,6.54,6.97
2017/01/24,6.13,6.54,6.97
2017/01/25,6.13,6.54,6.97
2017/01/26,6.07,6.49,6.91
2017/01/27,6.07,6.49,6.91
2017/01/28,6.07,6.49,6.91
2017/01/29,6.07,6.49,6.91
2017/01/30,6.07,6.49,6.91
2017/01/31,6.07,6.49,6.91
2017/02/01,6.07,6.49,6.91
2017/02/02,6.07,6.49,6.91
2017/02/03,6.07,6.49,6.91
2017/02/04,6.07,6.49,6.91
2017/02/05,6.07,6.49,6.91
2017/02/06,6.07,6.49,6.91
2017/02/07,6.07,6.49,6.91
2017/02/08,6.07,6.49,6.91
2017/02/09,6.07,6.49,6.91
2017/02/10,6.07,6.49,6.91
2017/02/11,6.07,6.49,6.91
2017/02/12,6.07,6.49,6.91
2017/02/13,6.07,6.49,6.91
2017/02/14,6.07,6.49,6.91
2017/02/15,6.11,6.53,6.95
2017/02/16,6.11,6.53,6.95
2017/02/17,6.11,6.53,6.95
2017/02/18,6.11,6.53,6.95
2017/02/19,6.11,6.53,6.95
2017/02/20,6.11,6.53,6.95
2017/02/21,6.11,6.53,6.95
2017/02/22,6.11,6.53,6.95
2017/02/23,6.11,6.53,6.95
2017/02/24,6.11,6.53,6.95
2017/02/25,6.11,6.53,6.95
2017/02/26,6.11,6.53,6.95
2017/02/27,6.11,6.53,6.95
2017/02/28,6.11,6.53,6.95
2017/03/01,6.11,6.53,6.95
2017/03/02,6.11,6.53,6.95
2017/03/03,6.11,6.53,6.95
2017/03/04,6.11,6.53,6.95
2017/03/05,6.11,6.53,6.95
2017/03/06,6.11,6.53,6.95
2017/03/07,6.11,6.53,6.95
2017/03/08,6.11,6.53,6.95
2017/03/09,6.11,6.53,6.95
2017/03/10,6.11,6.53,6.95
2017/03/11,6.11,6.53,6.95
2017/03/12,6.11,6.53,6.95
2017/03/13,6.11,6.53,6.95
2017/03/14,6.11,6.53,6.95
2017/03/15,6.05,6.46,6.88
2017/03/16,6.05,6.46,6.88
2017/03/17,6.05,6.46,6.88
2017/03/18,6.05,6.46,6.88
2017/03/19,6.05,6.46,6.88
2017/03/20,6.05,6.46,6.88
2017/03/21,6.05,6.46,6.88
2017/03/22,6.05,6.46,6.88
2017/03/23,6.05,6.46,6.88
2017/03/24,6.05,6.46,6.88
2017/03/25,6.05,6.46,6.88
2017/03/26,6.05,6.46,6.88
2017/03/27,6.05,6.46,6.88
2017/03/28,6.05,6.46,6.88
2017/03/29,5.87,6.28,6.68
2017/03/30,5.87,6.28,6.68
2017/03/31,5.87,6.28,6.68
2017/04/01,5.87,6.28,6.68
2017/04/02,5.87,6.28,6.68
2017/04/03,5.87,6.28,6.68
2017/04/04,5.87,6.28,6.68
2017/04/05,5.87,6.28,6.68
2017/04/06,5.87,6.28,6.68
2017/04/07,5.87,6.28,6.68
2017/04/08,5.87,6.28,6.68
2017/04/09,5.87,6.28,6.68
2017/04/10,5.87,6.28,6.68
2017/04/11,5.87,6.28,6.68
2017/04/12,5.87,6.28,6.68
2017/04/13,6.02,6.44,6.85
2017/04/14,6.02,6.44,6.85
2017/04/15,6.02,6.44,6.85
2017/04/16,6.02,6.44,6.85
2017/04/17,6.02,6.44,6.85
2017/04/18,6.02,6.44,6.85
2017/04/19,6.02,6.44,6.85
2017/04/20,6.02,6.44,6.85
2017/04/21,6.02,6.44,6.85
2017/04/22,6.02,6.44,6.85
2017/04/23,6.02,6.44,6.85
2017/04/24,6.02,6.44,6.85
2017/04/25,6.02,6.44,6.85
2017/04/26,6.02,6.44,6.85
2017/04/27,6.02,6.44,6.85
2017/04/28,6.02,6.44,6.85
2017/04/29,6.02,6.44,6.85
2017/04/30,6.02,6.44,6.85
2017/05/01,6.02,6.44,6.85
2017/05/02,6.02,6.44,6.85
2017/05/03,6.02,6.44,6.85
2017/05/04,6.02,6.44,6.85
2017/05/05,6.02,6.44,6.85
2017/05/06,6.02,6.44,6.85
2017/05/07,6.02,6.44,6.85
2017/05/08,6.02,6.44,6.85
2017/05/09,6.02,6.44,6.85
2017/05/10,6.02,6.44,6.85
2017/05/11,6.02,6.44,6.85
2017/05/12,5.84,6.23,6.64
2017/05/13,5.84,6.23,6.64
2017/05/14,5.84,6.23,6.64
2017/05/15,5.84,6.23,6.64
2017/05/16,5.84,6.23,6.64
2017/05/17,5.84,6.23,6.64
2017/05/18,5.84,6.23,6.64
2017/05/19,5.84,6.23,6.64
2017/05/20,5.84,6.23,6.64
2017/05/21,5.84,6.23,6.64
2017/05/22,5.84,6.23,6.64
2017/05/23,5.84,6.23,6.64
2017/05/24,5.84,6.23,6.64
2017/05/25,5.84,6.23,6.64
2017/05/26,5.94,6.35,6.76
2017/05/27,5.94,6.35,6.76
2017/05/28,5.94,6.35,6.76
2017/05/29,5.94,6.35,6.76
2017/05/30,5.94,6.35,6.76
2017/05/31,5.94,6.35,6.76
2017/06/01,5.94,6.35,6.76
2017/06/02,5.94,6.35,6.76
2017/06/03,5.94,6.35,6.76
2017/06/04,5.94,6.35,6.76
2017/06/05,5.94,6.35,6.76
2017/06/06,5.94,6.35,6.76
2017/06/07,5.94,6.35,6.76
2017/06/08,5.94,6.35,6.76
2017/06/09,5.94,6.35,6.76
2017/06/10,5.81,6.2,6.6
2017/06/11,5.81,6.2,6.6
2017/06/12,5.81,6.2,6.6
2017/06/13,5.81,6.2,6.6
2017/06/14,5.81,6.2,6.6
2017/06/15,5.81,6.2,6.6
2017/06/16,5.81,6.2,6.6
2017/06/17,5.81,6.2,6.6
2017/06/18,5.81,6.2,6.6
2017/06/19,5.81,6.2,6.6
2017/06/20,5.81,6.2,6.6
2017/06/21,5.81,6.2,6.6
2017/06/22,5.81,6.2,6.6
2017/06/23,5.81,6.2,6.6
2017/06/24,5.62,6,6.39
2017/06/25,5.62,6,6.39
2017/06/26,5.62,6,6.39
2017/06/27,5.62,6,6.39
2017/06/28,5.62,6,6.39
2017/06/29,5.62,6,6.39
2017/06/30,5.62,6,6.39
2017/07/01,5.62,6,6.39
2017/07/02,5.62,6,6.39
2017/07/03,5.62,6,6.39
2017/07/04,5.62,6,6.39
2017/07/05,5.62,6,6.39
2017/07/06,5.62,6,6.39
2017/07/07,5.62,6,6.39
